K	H	TTT_test_MSE	TTT_test_MAE
10	1	11.628609	2.882232
10	2	1.740126	0.855731
10	3	0.049065	0.128248
10	4	0.014442	0.077303
10	5	0.010262	0.060560
10	6	0.010127	0.060437
10	7	0.009749	0.058661
10	8	0.009766	0.058968
10	9	0.009736	0.057998
10	10	0.009211	0.056349
50	1	11.474440	2.852054
50	2	1.722830	0.882272
50	3	0.022207	0.091172
50	4	0.014528	0.068995
50	5	0.010325	0.061355
50	6	0.009857	0.059833
50	7	0.009948	0.058119
50	8	0.009481	0.058033
50	9	0.009647	0.058200
50	10	0.009294	0.057026
100	1	11.444215	2.835130
100	2	1.746262	0.879346
100	3	0.031850	0.107934
100	4	0.011707	0.065345
100	5	0.010563	0.061880
100	6	0.009789	0.059261
100	7	0.009373	0.057471
100	8	0.009705	0.059143
100	9	0.009439	0.057874
100	10	0.009252	0.057007
